Gage,X,Y
p05,169.5,928.44
p23,190.2,929.92
p01,124.94,929.82
p02,135.01,928.88
p03,145.42,929.56
p04,160.77,929.36
p26,190.2,929.92
p12,205.34,929.17
p13,220.23,929.13
p14,240.55,928.72
p15,264.7,929.06
p16,252.03,917.26
p45,370.08,928.03
p17,320.37,929.39
p18,398.39,929.85
p19,480.34,930.57
p87,884.11,919.79
